"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EE246F5Q","conferencePaper","2016","Becu, Nicolas; Amalric, Marion; Anselme, Brice; Beck, Elise; Bertin, Xavier; Delay, Etienne; Long, Nathalie; Manson, Corinne; Marilleau, Nicolas; Pignon-Mussaud, Cécilia; Rousseaux, Frédéric","Participatory simulation of coastal flooding: building social learning on prevention measures with decision-makers","International Environmental Modelling and Software Society","","","","","","2016","2016-06-28 12:50:24","2017-11-04 12:35:05","","","","","","","","","","","","","","Toulouse, France","","","","","","","","C-ACTI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3HPR9ZI","conferencePaper","2014","Delay, Etienne; Marcelin, Florian","Les territoires viticoles, entre espace d'innovation et innovation d'espaces","Vin, innovation et mondialisation : enjeux et perspectives","","","","http://hal.archives-ouvertes.fr/hal-01054374","La filière viticole est l'un des principaux moteurs de l'exportation de produits agroalimentaires en France. L'Europe se taille la part du lion dans la production mondiale, avec l'Italie, la France et l'Espagne dans le trio de tête des pays producteurs. Mais ces données masquent des réalités spatiales très hétérogènes. En effet les différentes régions, AOC, ou IGP n'accèdent pas de la même manière au marché globalisé (Rouvellac et al., 2012 ; Schirmer, 2007). Les stratégies de la filière de manière générale (Chiffoleau et al., 2001; Touzard et al., 2008) et des viticulteurs en particulier (Touzard et al., 2003) sont déterminantes quant aux dynamiques territoriales qui peuvent se mettre en place (Bertrand and Bertrand, 2002 ; Gumuchian and Pecqueur, 2007). Dans ce contexte, on observe depuis une dizaine d'années, une grande diversité de dynamiques locales, allant de la relance de vignobles, à des réorientations individuelles ou collectives de la production sur des territoires déjà largement structurés par le vignoble (Hinnewinkel, 2007, 2004). Ces innovations ou modernisations des territoires (Touzard et al., 2003) résultent de la combinaison d'un grand nombre de facteurs locaux, régionaux et/ou nationaux, qui trouvent des résonances localement. Nous proposons ici d'explorer les conditions d'émergence (Gilbert and Troitzsch, 2005) et de diffusion des innovations sur les territoires viticoles, ainsi que la manière dont elles permettent de faire terroir et territoire. En nous basant sur différents territoires d'étude (AOC Banyuls Collioure, diffusion des pratiques biodynamiques dans la vallée du Rhône...), nous avons formalisé et construit un premier modèle informatique distribué dont nous proposons ici l'analyse et la discussion de quelques résultats. Nous présenterons donc un modèle multi-agents théorique (Ferber 1995, Epstein and Axtell, 1996), qui nous permettra d'explorer un très grand nombre de configurations qui seront mises au regard d'exemples viticoles issus de nos territoires d'étude. Nous exposerons ici les premiers résultats d'une démarche de recherche conjointe de deux doctorants.","2014-06-19","2014-08-11 08:39:31","2017-11-04 12:41:47","2014-08-11 08:39:31","1-13","","","","","","","","","","","","Toulouse","","","","","","hal.archives-ouvertes.fr","","C-ACTN","","; ","http://hal.archives-ouvertes.fr/docs/01/05/43/74/PDF/Delay_Marcelin_Toulouse_innov.pdf; http://hal.archives-ouvertes.fr/index.php?action_todo=search&view_this_doc=hal-01054374&version=1&halsid=d6b6tq52cipb5drcifb2s73ha7","","Innovation; pente; SMA; système multi-agents; viticulture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vin, innovation et mondialisation : enjeux et perspectives","","","","","","","","","","","","","","",""
"GS2T7XGS","journalArticle","2015","Delay, Etienne; Chevallier, Marius","Roger Dion, toujours vivant !","Cybergeo : European Journal of Geography","","1278-3366","","http://cybergeo.revues.org/26961","Cet article explore au moyen d’un modèle en système multi-agent (SMA) les conditions d’émergence et de structuration historique des territoires de production des vins de qualité décrits dans l’œuvre de Roger Dion, et plus particulièrement dans son article intitulé “Querelles des anciens et des modernes sur les facteurs de la qualité du vin” de 1952 (Dion, 1952).","2015-05-06","2015-05-06 14:32:04","2017-11-04 12:39:53","2015-05-06 14:32:04","","","","","","","","","","","","","","fr","© CNRS-UMR Géographie-cités 8504","","","","cybergeo.revues.org","","ACL","","","http://cybergeo.revues.org/26961","","caractéristique du terroir; paysage; qualité du vin; système complexe; territoire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICRRBRX9","thesis","2011","Delay, Etienne","La dialectique du système : identifier statistiquement des territoires viticoles de terrasse, pour valoriser la viticulture héroique","","","","","","","2011","2015-03-03 10:42:20","2017-11-04 12:43:27","","","138","","","","","","","","","","Faculté des lettres et sciences humaines","Limoges","","","Master 2","","","","","TH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IJXCD8ED","conferencePaper","2012","Delay, Etienne; Bourgoin, Jeremy; Zottele, Fabio; Andreis, Daniele","LAME : un outil pour comprendre les dynamiques spatiales des territoires viticoles de montagne","IV congrès international de la viticulture de montagne et de forte pente","","","","","","2012-10","2012-11-26 15:23:23","2017-11-04 12:38:00","","80-85","","","","","","","","","","","","Lyon","","","","","","","","C-ACTI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KF5AF2FP","journalArticle","2015","Delay, Etienne; Piou, Cyril; Quenol, Hervé","The mountain environment, a driver for adaptation to climate change","Land Use Policy","","0264-8377","10.1016/j.landusepol.2015.05.008","http://www.sciencedirect.com/science/article/pii/S0264837715001489","The mountain environment is perceived today by vine-growers as a strong structural constraint. Yet in the current context of climate change, in which we turn to genetics, irrigation or innovation in cultural practices to maintain production quality, could the mountain environment emerge as a solution for adapting to climate change in vine-growing? Here we explore the role of cooperative policies that may be deployed on the territorial scale, using an agent-based model. Our model was based on the viticulture of the Banyuls–Collioures AOC area, which is characterized by small-scale vine-growers and marked by widespread involvement in cooperative systems. The simulation results showed an important role of cooperative policies not only to conserve narrow production window and required vine quality, but also in respect of the emblematic landscape structure. These results should foster vine-growers to strengthen their cooperatives and adequately use these organizations to mitigate future climate change impacts.","2015-11","2015-05-26 20:09:16","2017-11-04 12:41:54","2015-05-26 20:09:16","51-62","","","48","","Land Use Policy","","","","","","","","","","","","","ScienceDirect","","ACL","","; ","http://www.sciencedirect.com/science/article/pii/S0264837715001489/pdfft?md5=aff3c5c690695a25fb10e39c5dec6ea7&pid=1-s2.0-S0264837715001489-main.pdf; http://www.sciencedirect.com/science/article/pii/S0264837715001489#","","Agent based modeling; Climate change; Landscape; viticulture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIQP97XP","conferencePaper","2016","Delay, Etienne; Amalric, Marion; Marilleau, Nicolas; Becu, Nicolas; Anselme, Brice; Beck, Elise; Bertin, Xavier; Long, Nathalie; Manson, Corinne; Pignon-Mussaud, Cécilia; Rousseaux, Frédéric","LittoSim : un jeu sérieux de simulation participative pour la sensibilisation aux risques liés aux submersions marines","L'urbanisme, l'architecture et le jeu","","","","","","2016","2016-12-15 17:15:45","2017-11-04 12:36:20","","","","","","","","","","","","","","Lille, France","","","","","","","","C-COM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M82BRK7R","conferencePaper","2016","Linton, James; Delay, Etienne","Death by certainty: The Vinca dam, the French state, and the changing social relations of irrigation the Têt basin of the Eastern French Pyrenees","Water, Technology and the Nation-State","","","","","","2016-10-27","2016-12-19 16:40:18","2017-11-04 12:44:15","","","","","","","","","","","","","","University of Manchester","","","","","","","","C-COM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Water, Technology and the Nation-State","","","","","","","","","","","","","","",""
"MTN2VC4M","conferencePaper","2017","Zottele, Fabio; Delay, Etienne","Chasing the landscape capital in space and time: a model for Val di Cembra","Extreme viticulture: values, beauties, alliances, vulnerabilities","","","","","","2017-03-29","2017-02-20 14:11:46","2017-11-04 12:45:25","","","","","","","","","","","","","","Conegliano (TV) - Italy","","","","","","","","C-ACTI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5th international congress on moutain and steep slope viticulture","","","","","","","","","","","","","","",""
"QAXH85RJ","conferencePaper","2016","Linton, James; Delay, Etienne","The Vinca dam and the withering of canal associations in the Têt basin of the Eastern French Pyrenees","Water and social relations: Wittfogel's legacy and hydrosocial futures","","","","","","2016-07-20","2016-03-21 16:48:50","2017-11-04 12:44:09","","","","","","","","","","","","","","University of Milano-Bicocca","","","","","","","","C-COM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Water and social relations: Wittfogel's legacy and hydrosocial futures","","","","","","","","","","","","","","",""
"R2335UFU","thesis","2015","Delay, Etienne","Réflexions géographiques sur l’usage des systèmes multi-agents dans la compréhension des processus d’évolution des territoires viticoles de fortes pentes : Le cas de la Côte Vermeille et du Val di Cembra","","","","","","","2015-06-10","2015-06-18 09:58:20","2017-11-04 12:43:49","","","435","","","","","","","","","","Université de Limoges","Limoges","","","Thèse de doctorat","","","","","TH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ST3URHDP","conferencePaper","2015","Delay, Etienne; Vinatier, Fabrice","La mobilisation des services écosystémiques comme cadre conceptuel pour une approche intégrée des paysages viticoles méditerranéens","Les rencontres du végétales","","","","","","2015-01-12","2015-02-22 10:39:27","2017-11-04 12:42:32","","","","","","","","","","","","","","Angers","","","","","","","","C-COM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Les rencontres du végétales","","","","","","","","","","","","","","",""
"TEQPTH7I","thesis","2009","Bregeon, Claire; Delay, Etienne","Valorisation de la viticulture héroïque : de la communication à la gestion du territoire","","","","","","","2009","2015-01-02 21:25:49","2017-11-04 12:35:32","","","124","","","","","","","","","","Université de Limoges","Limoges","","","mémoire de Master 1","","","","","TH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBBJ3TD9","conferencePaper","2015","Delay, Etienne; Chevallier, Marius; Rouvellac, Éric; Zottele, Fabio","The Cooperative : origin and consequence of mountain vineyard landscapes?","ICA Research International Conference","","","","https://halshs.archives-ouvertes.fr/halshs-01155666","In an economy of increased globalization and trade, wine holds a privileged place. The wine cooperative system in vineyards in mountain regions, such as in Banyuls-sur-Mer, France and the Val di Cembra, Italy, offers a privileged context for studying the opportunities for individual action that affect precarious socio-economic balances. To understand, and sometimes predict, changes in the socio-economics and landscapes of a region due to cooperatives, we have used a multi-agent system (MAS) to model the behavior of the actors involved in wine production in a cooperative. This model analyses cooperative systems’ impact on socio-economic factors (income inequality and the rate of business failure) and landscapes (percentage of total land as vineyards, particularly in steep areas) of the regions considered. The findings show that cooperatives play a role of socio-economic and landscape stabilizer in these regions","2015-05-30","2015-05-27 08:48:50","2017-11-04 12:39:46","2015-05-27 08:48:50","","","","","","","The Cooperative","","","","","","Paris","en","","","","","halshs.archives-ouvertes.fr","","C-AFF","","","https://halshs.archives-ouvertes.fr/halshs-01155666v1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICA Research International Conference","","","","","","","","","","","","","","",""
"VDR3F3TI","conferencePaper","2014","Delay, Etienne; Chevallier, Marius; Piou, Cyril; Rouvellac, Éric","Modélisation sur le temps long des facteurs de qualité du vin","Xth International Terroirs Congress","","","","http://hal.archives-ouvertes.fr/hal-01054368","Ce travail a débuté comme un jeu intellectuel qui avait pour but de réfléchir sur la notion de qualité des vins du point de vue du terroir et des structures spatiales du territoire. La qualité de la vigne et du vin sont des notions qui sont Dupuis longtemps questionner par le monde scientifique. Chaque discipline les abordant avec ses propres outils. Un géographe français à profondément marquer l'histoire de la discipline à ce sujet est Roger DION (1896-1981) avec une approche résolument sociale et historique de la construction spatiale des vignobles. Dans ce travail nous nous proposons de revisiter l'un des articles fondateurs de Roger Dion (1952) sur la géographie viticole avec de nouveaux outils : le calcul distribué et la modélisation multi-agents (SMA). Ce papier est une opportunité de rediscuter des origines de la qualité du vin, de son développement, de son évolution à travers le temps, en considérant un certain nombre de facteurs formaliser à partir de R. Dion.","2014-07-07","2014-08-11 09:36:10","2017-11-04 12:39:24","2014-08-11 09:36:10","218-224","","","1","","","","","","","","","Tokaji-Eger","","","","","","hal.archives-ouvertes.fr","","C-ACTI","","; ","http://hal.archives-ouvertes.fr/docs/01/05/43/68/PDF/delay_al_quality.pdf; http://hal.archives-ouvertes.fr/index.php?action_todo=search&view_this_doc=hal-01054368&version=1&halsid=d6b6tq52cipb5drcifb2s73ha7","","paysage; SMA; système multi-agents; viticultureRoger DION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xth International Terroirs congress","","","","","","","","","","","","","","",""
"WN8H8QG7","conferencePaper","2017","Zottele, Fabio; Delay, Etienne","How much can a virtual territory help us to understand the resilience of the heroic viticulture? A case study in Trentino (IT)","Extreme viticulture: values, beauties, alliances, vulnerabilities","","","","","","2017-03-29","2017-02-20 14:15:48","2017-11-04 12:45:34","","","","","","","","","","","","","","Conegliano (TV) - Italy","","","","","","","","C-ACTI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5th international congress on moutain and steep slope viticulture","","","","","","","","","","","","","","",""
"X9AUHNQ3","conferencePaper","2015","Delay, Etienne; Caffarra, Amelia","A virtual pest to test a real method of integrated pest management:  agent-based models as a tool to explore the behavior of L. botrana during mating disruption.","GiESCO congress","","","","","","2015-06","2015-02-21 16:26:25","2017-11-04 12:38:49","","","","","","","","","","","","","","Pech Rouge - Montpellier - (Lauréat du meilleur poster scientifique)","","","","","","","","C-AFF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19e Journées internationnal du GiESCO","","","","","","","","","","","","","","",""
"XVGV2488","journalArticle","2013","Delay, Etienne; Bourgoin, Jeremy; Zottele, Fabio","Impact of cooperation on vineyards mountain landscape","Ciência e técnica vitivinicola","","0254-0223","","","","2013","2013-10-14 08:56:22","2017-11-04 12:38:20","","","","1","28","","","","","","","","","","","","","","","","","ACL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZF3HE8T9","journalArticle","2015","Zottele, Fabio; Delay, Etienne","È possibile descrivere la resistenza dei paesaggi vitati di montagna utilizzando un territorio virtuale? Il caso trentino","Territoires du vin","","1760-5296","","http://revuesshs.u-bourgogne.fr/territoiresduvin/document.php?id=1621","","2015","2014-12-09 14:37:56","2017-11-04 12:45:07","","","","6","","","","","","","","","","","Italien","","","","","","","ACL","","","http://revuesshs.u-bourgogne.fr/territoiresduvin/document.php?id=1621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98E3SXRW","conferencePaper","2017","Delay, Etienne","A Great Green Wall social-ecological systems database","Séminaire LabEX DRIIHM","","","","https://halshs.archives-ouvertes.fr/halshs-01521755","Framework and discussion about database and modelisation","2017-05-08","2017-06-20 09:02:16","2017-11-04 12:43:57","2017-06-20 09:02:16","","","","","","","","","","","","","Aveiro (Portugal)","en","","","","","halshs.archives-ouvertes.fr","","C-COM","","/home/delaye/.mozilla/firefox/3d7brbzt.default/zotero/storage/SD9EBTSJ/halshs-01521755v1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Séminaire LabEX DRIIHM","","","","","","","","","","","","","","",""
"BSHV7BMX","conferencePaper","2017","Niang, Khoudia; Delay, Etienne; Peiry, Jean-Luc; Goffner, Deborah","Perception de l'arbre en contexte Sahélien","Séminaire LabEX DRIIHM","","","","https://halshs.archives-ouvertes.fr/halshs-01521743","Dans le cadre de l’OHMi – Téssékéré et de l’ANR « Future Sahel », une recherche est conduite sur les usages des arbres en tant que pourvoyeur de ressources et vecteurs de services écosystémiques pour les acteurs locaux. En fonction du degré d’enclavement des zones concernées par l’étude, mais aussi des espèces botaniques accessibles et des pratiques culturelles et culturales locales qui leur sont associées, l’arbre sera utilisé (ou non) dans son intégralité (et peut-être différemment) par les hommes ou leurs troupeaux. Cette dépendance critique met l’ensemble des services écosystémiques liés aux arbres en tension et mieux comprendre la place qu’occupe l’arbre dans l’espace perçu et l’espace vécu des populations sahéliennes devient un facteur clef la gestion des ressources naturelles et plus particulièrement pour les stratégies de reboisement lancé dans le cadre de la grande muraille verte au Sénégal. Cette meilleure compréhension constitue également un des éléments clés de l’accroissement de résilience socio-environnementale dans une zone où cette végétation est fortement dégradée par le surpâturage et où la ressource végétale bien exploitée et valorisée pourrait beaucoup mieux pouvoir qu’actuellement au bien-être des populations et à leur résilience économique. Pour comprendre et explorer la manière dont les acteurs perçoivent les ressources liées aux arbres et la manière dont ils les mobilisent individuellement ou collectivement, un travail de recherche en cours. Réalisé par Khoudia Niang, ethnobotaniste et écologue, et animé par Deborah Goffner, il vise à mettre en évidence les relations et les types d’utilisation que les acteurs ont avec les arbres dans des systèmes socio-ecologiques contrastés situés sur le tracé de la Grande Muraille Verte (GMV). Ce travail prend la forme d’une enquête par questionnaires complétée d’entretiens en focus-groups. Il conduira à l’élaboration et à la formalisation d’une cartographie des « éco-socio-patches » basée sur les techniques de l’écologie du paysage et réalisée avec le concours de Jean-Luc Peiry, et à l’élaboration d’un modèle informatique individus-centrés, réalisé par Etienne Delay. Ces formalisations (spatiales et comportementales) au sein d’un modèle spatialement explicite permettront d’alimenter des ateliers participatifs avec les acteurs locaux durant lesquels le modèle sera confronté, validé, ou infirmé par les acteurs dans une approche itérative visant à traduire de manière acceptable les dynamiques spatio-temporelles qui sont à l’œuvre sur le tracé de la GMV. L’exploration du système, menée conjointement par entretiens et questionnaires et combinée avec un formalisme à base d’agents dans une approche participative, nous permettra d’explorer deux facettes de la perception des arbres en milieux sahéliens : i) identifier la manière dont les populations locales perçoivent les changements dans leur environnement et les répercussions que cela a sur leurs pratiques ii) projeter dans le temps ces changements de pratiques pour évaluer leurs impacts sur le système sahélien. Dans ce travail nous nous inscrivons dans une approche conceptuelle où l’événement social est le produit, du comportement d’un agrégat d’individus (individualisme méthodologique) et nous aurons abondamment recours aux sciences de la complexité (analyse des émergences, modélisation individu-centré).","2017-05-08","2017-06-20 09:02:38","2017-11-04 12:44:27","2017-06-20 09:02:38","","","","","","","","","","","","","Aveiro (Portugal)","fr","","","","","halshs.archives-ouvertes.fr","","C-COM","","/home/delaye/.mozilla/firefox/3d7brbzt.default/zotero/storage/F5SWJM4J/halshs-01521743v1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Séminaire LabEX DRIIHM","","","","","","","","","","","","","","",""
